purchase_order_no,order_date,due_date,vendor_code,material_code,quantity,unit_price,amount,currency,status,company_code
PO-2026-00235,2026-11-13,2026-12-10,VEND-005,RM-0007,3329,5300,17643700,KRW,CONFIRMED,KR01
PO-2026-00236,2026-11-15,2026-12-15,VEND-004,RM-0002,1562,11500,17963000,KRW,RECEIVED,KR01
PO-2026-00237,2026-11-06,2026-12-10,VEND-004,RM-0002,657,11500,7555500,KRW,CONFIRMED,KR01
PO-2026-00238,2026-11-01,2026-11-13,VEND-006,RM-0009,723,1300,939900,KRW,CONFIRMED,KR01
PO-2026-00239,2026-11-01,2026-11-26,VEND-004,RM-0002,1877,11500,21585500,KRW,CONFIRMED,KR01
PO-2026-00240,2026-11-17,2026-12-04,VEND-004,RM-0002,2642,11500,30383000,KRW,RECEIVED,KR01
PO-2026-00241,2026-11-10,2026-12-04,VEND-002,RM-0003,1401,4200,5884200,KRW,CONFIRMED,KR01
PO-2026-00242,2026-11-09,2026-12-12,VEND-004,RM-0002,2080,11500,23920000,KRW,CONFIRMED,KR01
PO-2026-00243,2026-12-08,2027-01-15,VEND-004,RM-0002,1330,11500,15295000,KRW,RECEIVED,KR01
PO-2026-00244,2026-12-05,2026-12-31,VEND-007,RM-0004,738,6700,4944600,KRW,OPEN,KR01
PO-2026-00245,2026-12-13,2027-01-10,VEND-005,RM-0007,2840,5300,15052000,KRW,CONFIRMED,KR01
PO-2026-00246,2026-12-11,2027-01-25,VEND-005,RM-0007,1530,5300,8109000,KRW,DELAYED,KR01
PO-2026-00247,2026-12-06,2027-01-07,VEND-007,RM-0004,1586,6700,10626200,KRW,DELAYED,KR01
PO-2026-00248,2026-12-08,2027-01-04,VEND-003,RM-0005,2658,3800,10100400,KRW,CONFIRMED,KR01
PO-2026-00249,2026-12-19,2027-01-07,VEND-005,RM-0007,766,5300,4059800,KRW,RECEIVED,KR01
PO-2026-00250,2026-12-18,2026-12-26,VEND-006,RM-0009,3092,1300,4019600,KRW,DELAYED,KR01
PO-2026-00251,2026-12-10,2026-12-21,VEND-005,RM-0008,2095,900,1885500,KRW,RECEIVED,KR01
PO-2026-00252,2026-12-21,2027-01-16,VEND-005,RM-0007,870,5300,4611000,KRW,CONFIRMED,KR01
PO-2026-00253,2026-12-03,2027-01-07,VEND-002,RM-0003,1844,4200,7744800,KRW,DELAYED,KR01
PO-2026-00254,2026-12-17,2027-01-19,VEND-005,RM-0008,2488,900,2239200,KRW,RECEIVED,KR01
PO-2026-00255,2026-12-08,2027-01-06,VEND-008,RM-0006,747,1600,1195200,KRW,OPEN,KR01
PO-2026-00256,2026-12-21,2027-01-22,VEND-005,RM-0010,2606,250,651500,KRW,DELAYED,KR01
PO-2026-00257,2026-12-01,2026-12-14,VEND-008,RM-0006,733,1600,1172800,KRW,CONFIRMED,KR01
PO-2026-00258,2026-12-12,2027-01-13,VEND-006,RM-0009,2125,1300,2762500,KRW,CONFIRMED,KR01
PO-2026-00259,2026-12-01,2027-01-07,VEND-005,RM-0010,1712,250,428000,KRW,OPEN,KR01
PO-2026-00260,2026-12-05,2027-01-03,VEND-005,RM-0007,775,5300,4107500,KRW,CONFIRMED,KR01
PO-2026-00261,2026-12-16,2027-01-14,VEND-005,RM-0008,2434,900,2190600,KRW,CONFIRMED,KR01
PO-2026-00262,2026-12-03,2026-12-29,VEND-005,RM-0008,1606,900,1445400,KRW,OPEN,KR01
PO-2026-00263,2026-12-21,2027-01-03,VEND-004,RM-0002,1705,11500,19607500,KRW,RECEIVED,KR01
PO-2026-00264,2026-12-06,2027-01-17,VEND-002,RM-0003,2413,4200,10134600,KRW,OPEN,KR01
